chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[7,1,10,18,16,14,24,29,30,37,43,44,57,55,58,71,63,69,79,83,77,86,89,91,107,104,101,117,118,111,128,123,130,138,136,133,146,150,152,161,164,166,174,175,176,184,191,189,196,200]",R_49GRi7W6rJG5j6F,space,2.7753,space,24.6402,space,267.2433,space,33.5842,space,23.856,space,45.6415,space,24.3957,4,8.9839,3,16.3293,3,16.1704,3,10.8491,3,7.2662,0,0,0,0,1,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.5168,space,47.6646,space,83.6585,space,55.2347,space,23.6639,space,26.8009,3,5.0152,1,13.5445,3,20.9484,1,6.5558,3,9.709,1,0,1,0,1,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.2337,space,130.8736,space,0.1583,space,0.1172,space,0.7966,space,0.5312,3,1.288,1,2.9155,3,1.9758,3,46.0965,3,7.7375,2,0,2,0,1,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.357,space,0.2296,space,0.1748,space,0.1227,space,249.0978,space,0.4042,3,1.3975,1,2.0308,3,1.6819,2,1.9718,2,0.8846,3,0,3,0,1,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,space,248.4488,"[""RightButton_2""]",0.263102789,-0.361305397,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,"[""LeftButton_2""]",-0.27568131,-0.272727273,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,"[""LeftButton_2""]",-0.243186567,-0.305361341,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.281970618,-0.480186622,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,12,10.633,space,3.2745,84,14.0494,,,,,,0,0,0,42,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.27672956,-0.536130678,1,0,0,RightButton,"[""RightButton""]",,,,2.982180613,9.0222,space,,,,,,,,,,,,0,1,1,40,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,0.902,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.318658265,-0.512820584,1,0,0,LeftButton,"[""LeftButton""]",,,,0.964360747,5.4018,space,,,,,,,,,,,,0,2,2,16,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,1.9507,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.258909885,-0.459207601,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,11,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.29245283,-0.533799605,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,27,3.951,space,1.4818,11,5.559,,,,,,0,4,4,44,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.29245283,-0.524475524,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,5,5,3,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29454933,-0.524475524,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,1,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258909837,-0.550116692,1,0,0,LeftButton,"[""LeftButton""]",12,3.162,space,,,,,,,,,,,,,,,0,7,7,14,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.8033,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302935042,-0.512820584,1,0,0,RightButton,"[""RightButton""]",0,3.7159,space,,,,,,,,,,,,,,,0,8,8,24,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,2.391,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.280922416,-0.543123685,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,0,1.2151,space,0.447874976,2.879,0,9,9,23,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,1.1548,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.299790388,-0.503496503,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,48.83531653,7.9499,space,49.2588422,8.7323,0,10,10,46,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,1.7011,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.264150943,-0.51048951,1,0,0,LeftButton,"[""LeftButton""]",,,,0.01048226,4.3817,space,,,,,,,,,,,,0,11,11,28,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,2.9846,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.328092227,-0.461538462,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,1.5899,space,0.2338,7,5.0778,,,,,,0,12,12,32,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250524077,-0.461538462,0,0,0,,[],,,,,,,,,,,,,,,,,,0,13,13,9,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,,55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247379423,-0.503496503,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,1.189042471,1.1113,space,17.28289181,2.0542,0,14,14,34,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.9465,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.319706563,-0.538461538,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,6,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2683438,-0.531468531,1,0,0,LeftButton,"[""LeftButton""]",,,,1.032494839,1.3561,space,,,,,,,,,,,,0,16,16,41,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,0.9938,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.255765231,-0.459207601,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,17,17,10,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.322851121,-0.494172636,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,48,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.182389937,-0.473193615,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,7,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295597484,-0.515151657,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,20,20,8,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251572327,-0.48951049,1,0,0,LeftButton,"[""LeftButton""]",10,1.3196,space,,,,,,,,,,,,,,,0,21,21,37,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,1.2251,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.244234769,-0.51048951,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,4,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244234769,-0.51048951,1,0,0,LeftButton,"[""LeftButton""]",15,1.3873,space,,,,,,,,,,,,,,,0,23,23,25,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,1.113,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244234865,-0.456876528,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,8.81244632,1.4606,space,33.58850883,2.3324,0,24,24,21,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,3.3469,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269392002,-0.540792612,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,25,25,0,1,0,both_right.png,0,RandomDot27.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.08490566,-0.996503497,0,0,0,,[],,,,,,,,,,,,,,,,,,0,26,26,22,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,101,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.08490566,-0.996503497,0,0,0,,[],,,,,,,,,,,,,,,,,,0,27,27,15,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,,117,,,,,
