chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
"[69,14,3,152,118,191,76,122,66,90,79,110,137,157,172,84,199,117,29,125,146,168,156,192,190,97,131,101,163,51,99,175,49,41,67,181,95,56,141,140,151,81]",R_79c3LNBLwbOBa08,space,2.3688,space,5.6693,space,28.2471,space,11.0512,space,36.5325,space,3.8386,space,2.1674,3,3.9215,1,7.251,3,4.4588,1,5.8113,3,2.7619,0,0,0,0,1,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8687,space,1.4932,space,0.9186,space,29.0476,space,1.0015,space,0.4092,3,2.1219,1,1.1244,2,2.9629,2,2.6513,2,1.2052,1,0,1,0,1,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.2887,space,0.2609,space,0.2489,space,0.3294,space,1.729,space,0.7395,3,0.9523,1,1.0882,3,3.2877,2,0.9726,2,0.6956,2,0,2,0,1,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,space,1.1888,"[""RightButton_2""]",0.272651997,-0.299849745,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,[],0.190671381,-0.306098961,0,0,0,,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,"[""RightButton_2""]",0.228929027,-0.342344783,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,0,0.294513597,-0.519824243,1,0,0,RightButton,"[""RightButton""]",,,,4.974167325,10.0199,space,1.741,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301540442,-0.524823739,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.287158708,-0.528573269,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.280459679,-0.541071824,1,0,0,RightButton,"[""RightButton""]",61,7.341,space,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,2.3364,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.323401889,-0.533572642,1,0,0,RightButton,"[""RightButton""]",,,,4.974167325,3.4677,space,0.5964,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260940514,-0.491077603,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,39.50701966,6.6613,space,39.50701966,8.5457,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,0.1703,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25202418,-0.538572137,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,90,3.9183,space,40,7.1931,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,0.4533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.271871237,-0.541071824,1,0,0,RightButton,"[""RightButton""]",,,,,,,,89,2.4709,space,39,4.4009,,,,,,0,7,7,7,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.5062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.285597187,-0.541071824,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989779775,3.1081,space,0.7247,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.208301133,-0.507325688,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.69202665,3.4262,space,31.38571182,5.7078,0,9,9,9,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,1.5426,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.304663484,-0.492327446,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,2.1847,space,41,4.1419,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,0.9547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28826736,-0.492327446,1,0,0,RightButton,"[""RightButton""]",,,,4.724378054,3.4118,space,0.4346,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.231724177,-0.537322294,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.0483763,2.0961,space,30.12414598,3.6018,0,12,12,12,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.5497,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303882723,-0.5185744,1,0,0,RightButton,"[""RightButton""]",,,,4.829758464,2.503,space,0.6782,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.298089431,-0.527323425,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,89,2.6747,space,32,4.8129,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,1.6028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297636639,-0.494827133,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.84972045,3.8565,space,29.25682237,5.3921,0,15,15,15,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,1.0198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268748195,-0.508575531,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269528955,-0.541071824,1,0,0,RightButton,"[""RightButton""]",,,,4.42385004,4.6734,space,0.6945,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.250009714,-0.507325688,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258270264,-0.508575531,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,90,1.8271,space,31,3.5114,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,0.3264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.221902106,-0.507325688,1,0,0,RightButton,"[""RightButton""]",60,3.4051,space,,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,0.6885,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.353071093,-0.506075845,1,0,0,RightButton,"[""RightButton""]",,,,,,,,85,2.8064,space,30,5.0361,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,0.1576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273432758,-0.532322798,1,0,0,RightButton,"[""RightButton""]",,,,4.396529589,2.9798,space,0.4532,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29028175,-0.528573269,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.223916496,-0.524823739,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,40.29549638,3.6921,space,28.38949876,6.0166,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,2.2715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.292624108,-0.521074087,1,0,0,LeftButton,"[""LeftButton""]",66,3.4837,space,,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,0.4358,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.355085559,-0.519824243,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,89,2.4845,space,32,4.4913,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.4559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.18364446,-0.516074713,1,0,0,RightButton,"[""RightButton""]",89,1.8728,space,,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,0.4829,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.256708743,-0.529823112,1,0,0,LeftButton,"[""LeftButton""]",,,,4.080389889,2.46,space,0.4522,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.242654901,-0.527323425,1,0,0,LeftButton,"[""LeftButton""]",67,5.114,space,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,3.306,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297636639,-0.527323425,1,0,0,RightButton,"[""RightButton""]",72,1.8275,space,,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.9535,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.287939468,-0.534822485,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,85,2.7732,space,31,4.1611,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,0.2507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.249681822,-0.481078734,1,0,0,LeftButton,"[""LeftButton""]",70,3.2285,space,,,,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,1.0411,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303882723,-0.529823112,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260612622,-0.519824243,1,0,0,LeftButton,"[""LeftButton""]",,,,4.135031555,2.1468,space,0.9936,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.323074073,-0.502326315,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,71.83456497,2.4429,space,31.77995404,4.3126,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,0.7962,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.318717326,-0.504826001,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,62.13630369,2.7623,space,36.11657211,4.0491,0,36,36,36,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,0.8118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.284816426,-0.54357151,1,0,0,LeftButton,"[""LeftButton""]",69,1.9244,space,,,,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,0.4981,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.385082579,-0.541071824,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.07490033,2.005,space,39.27047897,3.6276,0,38,38,38,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.3881,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.309020231,-0.539821981,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,73.88460751,2.4541,space,49.99376538,5.2736,0,39,39,39,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.4479,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,0.249228953,-0.506075845,1,0,0,RightButton,"[""RightButton""]",78,1.9823,space,,,,,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,0.6608,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_79c3LNBLwbOBa08,1,2024-05-31_13h42.46.174,interaction task,2021.2.3,Win32,238.0952381,120281,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.345716357,-0.541071824,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,89,1.8713,space,26,3.2519,,,,,,0,41,41,41,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,0.9146
