participant,SONAid,slider_guilt_both_incor,slider_guilt_self_incor,slider_guilt_diff,share_slider_both_incor,share_slider_self_incor,share_slider_diff,slider_apology_both_incor,slider_apology_self_incor,slider_apology_diff,slider_hide_both_incor,slider_hide_self_incor,slider_hide_diff,slider_forgiveness_both_incor,slider_forgiveness_self_incor,slider_forgiveness_diff,slider_mad_both_incor,slider_mad_self_incor,slider_mad_diff
R_12tSZmx8hSuXu6d,120748.0,29.666666666666668,65.0,35.33333333333333,2.2426486543333333,3.3520507810000004,1.1094021266666672,56.666666666666664,71.33333333333333,14.666666666666664,51.333333333333336,49.666666666666664,-1.6666666666666714,76.38655068999999,65.53055877333334,-10.855991916666653,20.502003542,44.631098306666665,24.129094764666664
R_13m40r672zQl4g7,120734.0,58.333333333333336,29.333333333333332,-29.000000000000004,4.814355638666667,3.18748573,-1.626869908666667,76.33333333333333,55.666666666666664,-20.666666666666664,29.0,44.0,15.0,93.15777403,64.50230876333333,-28.655465266666667,79.27952576333333,57.113798163333335,-22.16572759999999
R_1Et4aI0weGQGovt,120280.0,38.0,80.0,42.0,3.486033606333333,4.853143601,1.3671099946666674,29.333333333333332,85.0,55.66666666666667,16.0,35.0,19.0,89.52079700999998,46.75152442,-42.76927258999998,9.365480199666667,54.263399119999995,44.897918920333325
R_1FQhiEgg2BqpONz,120316.0,6.666666666666667,17.333333333333332,10.666666666666664,4.990541811666667,4.984420211333333,-0.006121600333333532,10.0,9.0,-1.0,1.3333333333333333,3.0,1.6666666666666667,77.38905256,63.437872649999996,-13.95117991,3.247938002666667,6.440672639333333,3.1927346366666662
R_1JOTZSNdzRD5obR,120606.0,57.0,74.0,17.0,4.954861323333334,4.98090299,0.026041666666666075,70.0,81.33333333333333,11.333333333333329,23.666666666666668,35.666666666666664,11.999999999999996,51.54321202,56.66386511333334,5.120653093333338,42.950339910000004,52.77076747,9.820427559999999
R_1QYUgALf2MKc3vp,120802.0,52.0,85.33333333333333,33.33333333333333,4.824652777666667,4.960069444333333,0.13541666666666607,81.66666666666667,73.33333333333333,-8.333333333333343,44.333333333333336,43.333333333333336,-1.0,64.55527497333334,48.281425363333334,-16.273849610000006,49.01795735333334,61.50392817333334,12.485970820000006
R_1WtVKNu6flh5Sp7,120967.0,0.0,73.33333333333333,73.33333333333333,1.6805556746666666,3.2934028570000002,1.6128471823333337,1.3333333333333333,50.333333333333336,49.0,0.3333333333333333,3.3333333333333335,3.0,99.81061141333333,74.41077922999999,-25.399832183333345,0.007014590333333333,24.74747608466667,24.740461494333335
R_1YUzjPBvYVnwzBL,120484.0,55.666666666666664,74.66666666666667,19.000000000000007,3.1893424036666667,3.679138322,0.48979591833333336,84.0,100.0,16.0,56.666666666666664,56.666666666666664,0.0,39.143131999999994,65.16296754333334,26.019835543333343,70.70592546666667,62.18534552,-8.520579946666672
R_1dEQmznFrOUMB26,120760.0,54.333333333333336,97.0,42.666666666666664,2.3385797393333334,4.931225633666667,2.5926458943333337,57.0,82.33333333333333,25.33333333333333,33.333333333333336,47.0,13.666666666666664,87.35177063333333,39.799308880000005,-47.552461753333326,46.709541812666664,68.86340254333334,22.153860730666672
R_1g31aXiXPgtLRgR,120256.0,0.6666666666666666,32.0,31.333333333333332,4.982754006,4.977547786,-0.005206220000000705,46.666666666666664,49.333333333333336,2.6666666666666714,7.0,20.0,13.0,82.90749615,82.98637466,0.07887850999999557,8.573104311,12.438389626666668,3.865285315666668
R_1hbYZAAG1H7UZQE,120627.0,83.0,74.0,-9.0,3.332113226,2.397510981,-0.9346022450000002,83.0,63.0,-20.0,59.0,50.666666666666664,-8.333333333333336,50.049297270000004,49.309838256666666,-0.7394590133333381,46.79567761333334,45.760435,-1.0352426133333381
R_1lh2G802tSwgxMU,120217.0,55.666666666666664,56.0,0.3333333333333357,3.0308069299999993,3.3274830009999996,0.29667607100000026,54.333333333333336,61.666666666666664,7.333333333333329,62.333333333333336,62.666666666666664,0.3333333333333286,57.92593907666666,60.243859310000005,2.3179202333333464,57.72262556333334,51.16434892666666,-6.558276636666676
R_1lsKKVQpKnRQfFs,120644.0,29.333333333333332,43.666666666666664,14.333333333333332,3.3480017006666665,2.6491992626666665,-0.698802438,36.0,16.666666666666668,-19.333333333333332,30.0,17.333333333333332,-12.666666666666668,16.719884503333333,19.979700633333334,3.259816130000001,17.57380351,23.52707918,5.95327567
R_2D6PXoNGiJXqobD,120541.0,38.666666666666664,31.0,-7.666666666666664,3.995924208,4.951511524333333,0.9555873163333333,13.0,6.666666666666667,-6.333333333333333,16.333333333333332,4.666666666666667,-11.666666666666664,10.493998986666668,17.22380855666667,6.7298095700000005,21.16790155,33.28024896,12.112347410000002
R_2KryIkmTCOb6eUU,120811.0,90.0,81.0,-9.0,3.7131519276666665,3.352607709666666,-0.36054421800000025,89.0,95.0,6.0,46.0,54.0,8.0,59.02448521333334,25.308641973333334,-33.71584324000001,54.901623949999994,76.06564511333333,21.164021163333338
R_2KyfqZxEJXtBkzL,120416.0,7.333333333333333,12.0,4.666666666666667,0.907986164,0.23958338633333334,-0.6684027776666667,40.333333333333336,47.666666666666664,7.333333333333329,10.666666666666666,7.333333333333333,-3.333333333333333,36.777499600333336,38.952022877,2.174523276666662,8.368407354333332,6.895343115666667,-1.473064238666665
R_2M3BSrq6ZzSs0t3,120533.0,24.333333333333332,24.0,-0.33333333333333215,3.521642331666666,2.624535454333334,-0.8971068773333322,19.0,21.0,2.0,40.0,42.0,2.0,25.47913454,22.08863789,-3.3904966499999993,30.277086079999993,18.810404366666667,-11.466681713333326
R_2dZ82kJ2ybI5Wiu,120218.0,8.0,27.333333333333332,19.333333333333332,1.8967198633333335,3.6655602120000004,1.7688403486666668,4.666666666666667,6.0,1.333333333333333,29.333333333333332,48.0,18.666666666666668,76.57053012333333,65.10615762333333,-11.464372499999996,25.95373097,30.581551876666666,4.627820906666667
R_2ewvKYOw2lIyB6E,120778.0,40.333333333333336,53.333333333333336,13.0,0.014396565333333333,0.049706584,0.035310018666666665,46.666666666666664,62.0,15.333333333333336,46.333333333333336,52.333333333333336,6.0,59.141488966666664,60.45397694,1.312487973333333,50.138429566666666,52.94574812666667,2.807318560000006
R_2imqlVYkXvGkEUD,120852.0,56.666666666666664,85.33333333333333,28.666666666666664,2.4632768363333333,4.426553672333333,1.963276836,70.0,83.66666666666667,13.666666666666671,37.0,57.333333333333336,20.333333333333336,44.52148605,40.75500770333333,-3.7664783466666734,36.70319009333333,76.65068767000001,39.94749757666668
R_31BwcmFMmY8Wg3q,120315.0,0.0,2.0,2.0,4.972222222333333,4.002314815,-0.9699074073333334,0.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,99.91582491666666,99.86906098000001,-0.04676393666665035,0.1777029556666667,0.018705574333333332,-0.15899738133333335
R_3FJcVxSy2lNvUyM,120374.0,21.333333333333332,24.0,2.666666666666668,4.9740125866666665,4.9665617766666665,-0.007450809999999919,32.0,37.333333333333336,5.333333333333336,12.666666666666666,6.666666666666667,-5.999999999999999,66.90242266,39.592649585333334,-27.309773074666666,34.719518683333334,12.704665288000001,-22.014853395333333
R_3Hq0pKoFXUeyfKX,120829.0,46.666666666666664,59.666666666666664,13.0,4.9823404946666665,4.978678385333334,-0.003662109333332886,53.666666666666664,70.33333333333333,16.666666666666664,11.333333333333334,13.0,1.666666666666666,70.62198226333334,42.87799873666666,-27.743983526666675,35.286348733333334,50.14686798666667,14.860519253333337
R_3NHYjetBGepYbrK,120245.0,33.333333333333336,79.66666666666667,46.333333333333336,3.3394006800000002,3.0459074800000003,-0.2934931999999999,0.6666666666666666,62.333333333333336,61.66666666666667,2.0,75.33333333333333,73.33333333333333,63.04841675,20.53305771733333,-42.515359032666666,1.716784453,80.95790807333334,79.24112362033334
R_3Vxfev3MGsXgbK1,120801.0,40.666666666666664,63.666666666666664,23.0,3.3636881506666665,4.337519893,0.9738317423333331,58.333333333333336,72.66666666666667,14.333333333333336,16.0,13.666666666666666,-2.333333333333334,48.78779110333334,49.22821239,0.4404212866666626,45.30058981,49.20720515333333,3.9066153433333284
R_3WksQ064xj6JYYN,120834.0,48.333333333333336,73.33333333333333,24.999999999999993,3.151041825666667,4.982639154,1.8315973283333333,67.0,90.33333333333333,23.33333333333333,16.0,21.666666666666668,5.666666666666668,86.68630966,73.21829619333333,-13.468013466666676,15.277779383333332,34.81341404,19.535634656666666
R_3YovKuFHnYI49gt,120331.0,6.666666666666667,1.3333333333333333,-5.333333333333334,0.05324074066666667,0.034722222,-0.01851851866666667,0.0,1.0,1.0,0.0,81.66666666666667,81.66666666666667,44.107744105,65.50692106333334,21.399176958333335,7.9592218489999995,10.344182566999999,2.3849607179999994
R_3ekubxwa9Ik5zUP,120739.0,7.333333333333333,11.0,3.666666666666667,2.5010511266666664,2.52671176,0.02566063333333357,17.0,21.0,4.0,22.666666666666668,19.0,-3.666666666666668,93.32128890666667,90.26611982666667,-3.055169079999999,4.944882733333333,7.661089960999999,2.716207227666666
R_3g0YlMh4uWQIm91,119713.0,5.666666666666667,8.0,2.333333333333333,1.657535270333333,1.3508668826666668,-0.30666838766666626,8.333333333333334,9.666666666666666,1.3333333333333321,53.0,79.66666666666667,26.66666666666667,76.06884192666666,76.07790985666666,0.009067930000000501,37.18616215666666,43.71742051333334,6.531258356666676
R_3z8wN509TuVnNc6,120769.0,19.333333333333332,44.0,24.666666666666668,2.0,2.995370370333333,0.9953703703333332,50.0,46.333333333333336,-3.6666666666666643,47.0,33.0,-14.0,86.19528619333333,73.80284324666667,-12.392442946666662,56.26636737666667,70.29554807333334,14.029180696666664
R_3zJ5QiBCzzLGrFb,120769.0,26.333333333333332,63.0,36.66666666666667,2.1550925929999996,2.9745370369999997,0.8194444440000002,49.333333333333336,69.66666666666667,20.333333333333336,28.0,40.0,12.0,83.81032547666668,69.31350542333332,-14.496820053333352,39.80546202666667,69.68761690666666,29.882154879999995
R_54voFul3k9D7bqr,120747.0,35.666666666666664,46.0,10.333333333333336,4.782407407666668,4.3125,-0.4699074076666676,47.0,33.0,-14.0,4.0,23.0,19.0,51.40291807,66.36737747666668,14.964459406666677,25.308641976666667,25.68275346,0.37411148333333344
R_59nXN3KJnjYkf8b,121562.0,10.333333333333334,43.333333333333336,33.0,0.017361177666666668,0.010416772999999999,-0.006944404666666669,7.666666666666667,0.0,-7.666666666666667,8.666666666666666,100.0,91.33333333333333,66.79994709666666,9.490742077,-57.309205019666656,14.015152049666666,90.12346535333332,76.10831330366665
R_5EccKcotuRFOO33,120209.0,77.33333333333333,76.0,-1.3333333333333286,4.319444444666667,1.9976851853333333,-2.3217592593333336,67.33333333333333,56.333333333333336,-10.999999999999993,7.0,31.0,24.0,42.845117843333334,50.0,7.154882156666666,63.62701085,43.17246539666667,-20.45454545333333
R_5LgU1eXqKtcFTuL,120216.0,40.333333333333336,47.0,6.666666666666664,4.564138676333333,3.4048061933333336,-1.1593324829999996,52.333333333333336,66.0,13.666666666666664,86.66666666666667,81.0,-5.666666666666671,59.78284832333333,66.17059913,6.387750806666666,32.33396894,31.95675576666667,-0.3772131733333275
R_5PyR4YVF9PC296x,120210.0,44.333333333333336,80.66666666666667,36.333333333333336,2.9260073060000003,3.1258138019999997,0.19980649599999944,13.666666666666666,52.666666666666664,39.0,25.666666666666668,48.0,22.333333333333332,50.93582672666667,45.15372182666667,-5.7821049,43.14469931,38.82469808,-4.320001230000003
R_5gBJYH1TXEzkJ8L,120347.0,34.666666666666664,77.66666666666667,43.00000000000001,2.836868851333333,4.983407479333334,2.1465386280000005,60.333333333333336,75.0,14.666666666666664,0.0,0.6666666666666666,0.6666666666666666,58.704302868000006,51.1226998,-7.581603068000007,2.736274784666667,22.521621016666668,19.785346232000002
R_5lSB76siDkwnBL3,120201.0,48.333333333333336,63.0,14.666666666666664,1.251842164,1.1924014066666666,-0.059440757333333316,77.0,75.66666666666667,-1.3333333333333286,39.333333333333336,60.0,20.666666666666664,62.90777696333333,40.76783171333333,-22.139945250000004,53.60227517333334,51.14016297999999,-2.462112193333347
R_5uP9JJsaCJo6OOz,120968.0,42.333333333333336,62.666666666666664,20.33333333333333,4.545855379,4.969135802333334,0.4232804233333338,52.333333333333336,72.33333333333333,19.999999999999993,42.666666666666664,34.0,-8.666666666666664,75.74243315,38.95480377,-36.78762938,41.35980617333333,61.98047494333334,20.62066877000001
R_6JCnE5DyshtV1nw,120479.0,94.0,90.0,-4.0,3.002568735666667,3.0015589570000003,-0.0010097786666665165,89.66666666666667,79.66666666666667,-10.0,89.66666666666667,70.0,-19.66666666666667,71.4229526,63.60848422,-7.814468380000001,77.45746867999999,78.76679923,1.3093305500000127
R_71Et5V1BaqiJuoR,120783.0,4.0,19.333333333333332,15.333333333333332,1.9939615026666668,3.6588800016666667,1.6649184989999999,18.666666666666668,34.0,15.333333333333332,30.0,16.666666666666668,-13.333333333333332,83.96891923666666,29.432045043333332,-54.53687419333333,26.190058656,67.46323324666666,41.273174590666656
R_73JC3XxCdLeJrlD,120370.0,86.33333333333333,92.0,5.666666666666671,4.969497316,4.925573450333333,-0.04392386566666673,71.66666666666667,88.0,16.33333333333333,46.0,66.0,20.0,67.79631355,45.661840463333334,-22.13447308666666,39.45038476333334,60.50031796333334,21.049933199999998
R_7LzE0pjYtdObtSm,121574.0,3.0,2.6666666666666665,-0.3333333333333335,2.9739229023333333,3.0034013606666665,0.02947845833333318,3.3333333333333335,2.3333333333333335,-1.0,5.0,2.6666666666666665,-2.3333333333333335,1.6250944823333333,31.821617534666668,30.196523052333333,1.670904052,1.304427495,-0.3664765569999999
R_7PyO7Fjqtbjl581,120529.0,96.33333333333333,87.66666666666667,-8.666666666666657,4.317008972,3.3474748400000003,-0.9695341319999997,86.66666666666667,96.66666666666667,10.0,33.333333333333336,53.333333333333336,20.0,62.83840717666667,63.571077370000005,0.7326701933333339,59.93381704666667,66.76134879333334,6.827531746666672
R_7eap0FQxb1TrCnY,120456.0,38.333333333333336,38.666666666666664,0.3333333333333286,2.430555555666667,2.4745370369999997,0.043981481333332795,14.333333333333334,27.666666666666668,13.333333333333334,7.0,21.333333333333332,14.333333333333332,49.76618032,51.82379348999999,2.057613169999996,24.139543586666665,39.85222596333333,15.712682376666667
R_7lxhI87CHabQjfc,120766.0,42.666666666666664,39.666666666666664,-3.0,2.5464319300000002,2.5103533710000003,-0.0360785589999999,62.0,52.666666666666664,-9.333333333333336,11.0,14.666666666666666,3.666666666666666,55.08588245666667,55.035799983333334,-0.050082473333333155,52.63305922666666,33.501555630000006,-19.131503596666654
R_8cvY6RMpIIbMEo3,120435.0,62.0,98.0,36.0,2.143955499,3.8741496600000005,1.7301941610000005,60.333333333333336,71.33333333333333,10.999999999999993,5.0,4.0,-1.0,44.53541938666667,34.643236503333334,-9.892182883333334,48.50743117333334,70.99402471333333,22.486593539999994
