﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[46,65,145,197,176,138,60,2,174,100,18,170,155,90,75,58,25,110,119,154,96,142,185,50,165,203,77,67,79,184,122,127,183,102,94,161,141,115,156,88,51,129]",山鬼丫,space,2.8933,space,3.3063,space,14.5269,space,22.7883,space,40.651,space,6.7342,space,6.2062,4,9.3265,3,9.8105,3,10.6086,3,8.7093,2,7.2415,0,0,0,0,1,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.624,space,9.0051,space,4.1579,space,9.1115,space,2.8379,space,0.9012,3,7.357,1,7.1665,3,6.7321,2,13.4341,2,5.3161,1,0,1,0,1,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,space,7.1069,"[""LeftButton_2""]",-0.315484145,-0.30049973,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,"[""RightButton_2""]",0.362784471,-0.286224169,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,"[""LeftButton_2""]",-0.291387719,-0.339043627,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,0.6,0.331548443,-0.511777302,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.289602829,-0.511777302,1,0,0,LeftButton,"[""LeftButton""]",,,,4.894021071,11.6707,space,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,1.5874,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.305667086,-0.493219216,1,0,0,LeftButton,"[""LeftButton""]",81,4.6907,space,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,0.8044,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.355644829,-0.518915148,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.340473058,-0.496074276,1,0,0,RightButton,"[""RightButton""]",,,,,,,98,2.8648,space,56,9.4919,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,1.8858,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.286033048,-0.480371251,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,55.09332779,4.6057,space,62.84599678,8.2014,0,5,5,5,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,2.1315,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.251227076,-0.524625268,1,0,0,LeftButton,"[""LeftButton""]",,,,4.52811245,3.0531,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.1419,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.317269076,-0.468950749,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.254796938,-0.516059957,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,97,2.8317,space,56,6.4157,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,1.8247,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.256581829,-0.457530379,1,0,0,LeftButton,"[""LeftButton""]",15,4.8669,space,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,2.0072,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.268183901,-0.507494647,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.28335559,-0.490364026,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,93,3.0622,space,50,6.6994,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,2.4516,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.231593039,-0.520342612,1,0,0,RightButton,"[""RightButton""]",99,2.8017,space,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,0.7688,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.352967452,-0.543183484,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,81.32620543,2.5239,space,68.79572161,6.1323,0,13,13,13,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,,2.0517,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,0.285140562,-0.514632493,1,0,0,RightButton,"[""RightButton""]",,,,,,,95,1.89,space,51,3.2136,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.7189,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.307452058,-0.494646681,1,0,0,RightButton,"[""RightButton""]",96,2.6172,space,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.9556,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.276215948,-0.480371251,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,0.340473058,-0.540328424,1,0,0,RightButton,"[""RightButton""]",,,,3.077867296,3.485,space,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,0.987,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.253904534,-0.511777302,1,0,0,RightButton,"[""RightButton""]",,,,2.555778943,2.6716,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.7666,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.28335559,-0.46609569,1,0,0,LeftButton,"[""LeftButton""]",87,3.207,space,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,0.6401,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,0.283355672,-0.513204897,1,0,0,RightButton,"[""RightButton""]",36,3.2886,space,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,2.2949,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.341365462,-0.526052863,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,91.42271091,3.872,space,40.12886563,8.7646,0,21,21,21,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,4.342,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.226238286,-0.504639587,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,42.47270212,12.6876,space,67.35336958,7.6658,0,22,22,22,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,,5.904,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,0.278893406,-0.526052863,1,0,0,RightButton,"[""RightButton""]",86,2.023,space,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,0.9176,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.297634957,-0.510349837,1,0,0,LeftButton,"[""LeftButton""]",,,,4.925256854,2.256,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,0.3842,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.309236948,-0.506067182,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,25,25,25,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,0.322623829,-0.500356932,1,0,0,RightButton,"[""RightButton""]",,,,,,,90,4.1219,space,47,5.8626,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,0.7578,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.290495315,-0.511777302,1,0,0,RightButton,"[""RightButton""]",,,,3.956939003,3.2687,space,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,1.934,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.270861195,-0.520342612,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,89,2.1068,space,55,4.5681,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,1.4491,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.348505104,-0.533190578,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,50.85640529,2.4161,space,69.78734791,4.1822,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,,0.5708,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.329763471,-0.494646681,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,33,2.8239,space,56,6.2851,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.5913,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.299419847,-0.503211991,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,41,6.9038,space,55,8.5837,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,0.5634,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.305667086,-0.506067182,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,41.84166795,3.4628,space,69.51690588,5.0417,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,0.617,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.308344462,-0.473233405,1,0,0,LeftButton,"[""LeftButton""]",32,2.4864,space,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,0.3208,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,-0.269076305,-0.487508966,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,57.25686409,3.1875,space,51.75787324,5.0001,0,34,34,34,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,,0.3746,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.297634957,-0.491791621,1,0,1,LeftButton,"[""LeftButton""]",,,,4.032797858,3.3078,space,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,1.216,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.260151772,-0.520342612,1,0,1,RightButton,"[""RightButton""]",,,,,,,,,,,,25.16441172,8.8835,space,25.52499561,7.5858,0,36,36,36,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,2.2414,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.284248158,-0.498929336,1,0,1,RightButton,"[""RightButton""]",,,,2.341588849,2.594,space,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,0.2849,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,0.287817938,-0.496074276,1,0,1,RightButton,"[""RightButton""]",,,,4.340696118,2.5721,space,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,0.3678,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.318161521,-0.520342612,1,0,1,LeftButton,"[""LeftButton""]",,,,,,,,,,,,54.91303585,1.973,space,55.18347789,3.4132,0,39,39,39,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,,0.489,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.313699214,-0.478943655,1,0,1,LeftButton,"[""LeftButton""]",65,2.9815,space,,,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,1.3484,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.292280287,-0.521770208,1,0,1,RightButton,"[""RightButton""]",,,,,,,56,6.77,space,55,8.8484,,,,,,0,41,41,41,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,0.4191,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.953146571,23.5341,6.016064257,21.858,6,27.715,2.053547687,32.7546,space,35.1609